,abstract
824," We develop a practical and novel method for inference on intersection bounds, namely bounds de?ned by either the in?mum or supremum of a parametric or nonparametric function, or equivalently, the value of a linear programming problem with a potentially in?nite constraint set. Our approach is especially convenient for models comprised of a continuum of inequalities that are separable in parameters, and also applies to models with inequalities that are non-separable in parameters. Since analog estimators for intersection bounds can be severely biased in ?nite samples, routinely underestimating the size of the identi?ed set, we also o?er a median-bias-corrected estimator of such bounds as a natural by-product of our inferential procedures. We develop theory for large sample inference based on the strong approximation of a sequence of series or kernel-based empirical processes by a sequence of ""penultimate"" Gaussian processes. These penultimate processes are generally not weakly convergent, and thus non-Donsker. Our theoretical results establish that we can nonetheless perform asymptotically valid inference based on these processes. Our construction also provides new adaptive inequality/moment selection methods. We provide conditions for the use of nonparametric kernel and series estimators, including a novel result that establishes strong approximation for any general series estimator admitting linearization, which may be of independent interest.(This abstract was borrowed from another version of this item.)"
825,"This paper investigates the behavior of asset prices in an endowment economy in which a representative agent with power utility consumes the dividends of multiple assets. The assets are Lucas trees; a collection of Lucas trees is a Lucas orchard. The model generates return correlations that vary endogenously, spiking at times of disaster. Since disasters spread across assets, the model generates large risk premia even for assets with stable fundamentals. Very small assets may comove endogenously and hence earn positive risk premia even if their fundamentals are independent of the rest of the economy. I provide conditions under which the variation in a small asset's price-dividend ratio can be attributed almost entirely to variation in its risk premium.(This abstract was borrowed from another version of this item.)"
826,"We investigate the role of deeply-rooted pre-colonial ethnic institutions in shaping comparative regional development within African countries. We combine information on the spatial distribution of ethnicities before colonization with regional variation in contemporary economic performance, as proxied by satellite images of light density at night. We document a strong association between pre-colonial ethnic political centralization and regional development. This pattern is not driven by differences in local geographic features or by other observable ethnic-specific cultural and economic variables. The strong positive association between pre-colonial political complexity and contemporary development obtains also within pairs of adjacent ethnic homelands with different legacies of pre-colonial political institutions.(This abstract was borrowed from another version of this item.)"
827,"We consider a standard social choice environment with linear utilities and independent, one-dimensional, private types. We prove that for any Bayesian incentive compatible mechanism there exists an equivalent dominant strategy incentive compatible mechanism that delivers the same interim expected utilities for all agents and the same ex ante expected social surplus. The short proof is based on an extension of an elegant result due to Gutmann et al. (Annals of Probability, 1991). We also show that the equivalence between Bayesian and dominant strategy implementation generally breaks down when the main assumptions underlying the social choice model are relaxed, or when the equivalence concept is strengthened to apply to interim expected allocations.(This abstract was borrowed from another version of this item.)"
828,"This paper studies selection rules i.e. the procedures committees use to choose whether to place an issue on their agenda. The main ingredient of the model is that committee members are uncertain about their final preferences at the selection stage: they only know the probability that they will eventually prefer the proposal to the status quo at the decision stage. This probability is private information. We find that a more stringent selection rule makes the voters more conservative. Hence individual behavior reinforces the effect of the rule instead of balancing it. For a voter, conditional on being pivotal, the probability that the proposal is adopted depends on which option she eventually favors. The probability that the proposal is adopted if she eventually prefers the proposal increases at a higher rate with the selection rule than if she eventually prefers the status quo. In order to compensate for that, the voters become more selective. The decision rule has the opposite effect. We describe optimal rules when there is a fixed cost of organizing the final election.(This abstract was borrowed from another version of this item.)"
829,"We develop results for the use of Lasso and Post-Lasso methods to form first-stage predictions and estimate optimal instruments in linear instrumental variables (IV) models with many instruments, $p$. Our results apply even when $p$ is much larger than the sample size, $n$. We show that the IV estimator based on using Lasso or Post-Lasso in the first stage is root-n consistent and asymptotically normal when the first-stage is approximately sparse; i.e. when the conditional expectation of the endogenous variables given the instruments can be well-approximated by a relatively small set of variables whose identities may be unknown. We also show the estimator is semi-parametrically efficient when the structural error is homoscedastic. Notably our results allow for imperfect model selection, and do not rely upon the unrealistic ""beta-min"" conditions that are widely used to establish validity of inference following model selection. In simulation experiments, the Lasso-based IV estimator with a data-driven penalty performs well compared to recently advocated many-instrument-robust procedures. In an empirical example dealing with the effect of judicial eminent domain decisions on economic outcomes, the Lasso-based IV estimator outperforms an intuitive benchmark. In developing the IV results, we establish a series of new results for Lasso and Post-Lasso estimators of nonparametric conditional expectation functions which are of independent theoretical and practical interest. We construct a modification of Lasso designed to deal with non-Gaussian, heteroscedastic disturbances which uses a data-weighted $\ell_1$-penalty function. Using moderate deviation theory for self-normalized sums, we provide convergence rates for the resulting Lasso and Post-Lasso estimators that are as sharp as the corresponding rates in the homoscedastic Gaussian case under the condition that $\log p = o(n^{1/3})$.(This abstract was borrowed from another version of this item.)"
830,"We investigate the welfare properties of the one-sector neoclassic growth model with uninsurable idiosyncratic shocks. We focus on the constrained efficiency notion of the general equilibrium literature, and we demonstrate constrained inefficiency for our model. We provide a characterization of constrained efficiency that uses the first-order condition of a constrained planner's problem that points to the margins of relevance for whether capital is too high or too low : the income composition of the (consumption) poor. We calibrate our benchmark model parameters governing idiosyncratic risks to the U.S. earnings and wealth distribution, and for this distribution the income of the poor is mainly composed of labor earnings. We compute the constrained-efficient allocations -including transition dynamics- for our model economy, and we conclude that the long-run capital stock in a laissez faire world is not only too low, but much too low. We also show that one can find parameterizations with different qualitative features : in one case, the steady-state capital stock is too high, and in another case no steady state exists.(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)"
831,"We present a model for the equilibrium movement of capital between asset markets that are distinguished only by the levels of capital invested in each. Investment in that market with the greatest amount of capital earns the lowest risk premium. Intermediaries optimally trade off the costs of intermediation against fees that depend on the gain they can offer to investors for moving their capital to the market with the higher mean return. Those fees also depend on the bargaining power of the investor, in light of potential alternative intermediaries. In equilibrium, the speeds of adjustment of mean returns and of capital between the two markets are increasing in the degree to which capital is imbalanced between the two markets.(This abstract was borrowed from another version of this item.)"
832,"Firms are more productive on average in larger cities. Two main explanations have been offered: firm selection (larger cities toughen competition, allowing only the most productive to survive) and agglomeration economies (larger cities promote interactions that increase productivity), possibly reinforced by localised natural advantage. To distinguish between them, we nest a generalised version of a tractable firm selection model and a standard model of agglomeration. Stronger selection in larger cities left-truncates the productivity distribution whereas stronger agglomeration right-shifts and dilates the distribution. Using this prediction, French establishment level data, and a new quantile approach, we show that firm selection cannot explain spatial productivity differences. This result holds across sectors, city size thresholds, establishment samples, and area definitions.(This abstract was borrowed from another version of this item.)"
833,"This paper studies information aggregation in dynamic markets with a finite number of partially informed strategic traders. It shows that for a broad class of securities, information in such markets always gets aggregated. Trading takes place in a bounded time interval, and in every equilibrium, as time approaches the end of the interval, the market price of a ""separable"" security converges in probability to its expected value conditional on the traders' pooled information. If the security is ""non-separable,"" then there exists a common prior over the states of the world and an equilibrium such that information does not get aggregated. The class of separable securities includes, among others, Arrow-Debreu securities, whose value is one in one state of the world and zero in all others, and ""additive"" securities, whose value can be interpreted as the sum of traders' signals.(This abstract was borrowed from another version of this item.)"
834,"We consider model based inference in a fractionally cointegrated (or cofractional) vector autoregressive model based on the conditional Gaussian likelihood. The model allows the process X(t) to be fractional of order d and cofractional of order d-b; that is, there exist vectors ? for which ??X(t) is fractional of order d-b. The parameters d and b satisfy either d?b?1/2, d=b?1/2, or d=d??b?1/2. Our main technical contribution is the proof of consistency of the maximum likelihood estimators on the set 1/2?b?d?d? for any d??d?. To this end, we consider the conditional likelihood as a stochastic process in the parameters, and prove that it converges in distribution when errors are i.i.d. with suitable moment conditions and initial values are bounded. We then prove that the estimator of ? is asymptotically mixed Gaussian and estimators of the remaining parameters are asymptotically Gaussian. We also find the asymptotic distribution of the likelihood ratio test for cointegration rank, which is a functional of fractional Brownian motion of type II.(This abstract was borrowed from another version of this item.)"
835,"sufficiently large, the economy converges to a stationary debt level which is bounded away from the endogenous debt limit.(This abstract was borrowed from another version of this item.)"
836,"This paper is concerned with tests and confidence intervals for partially-identified parameters that are defined by moment inequalities and equalities. In the literature, different test statistics, critical value methods, and implementation methods (i.e., asymptotic distribution versus the bootstrap) have been proposed. In this paper, we compare a wide variety of these methods. We provide a recommended test statistic, moment selection critical value method, and implementation method. In addition, we provide a data-dependent procedure for choosing the key moment selection tuning parameter and a data-dependent size-correction factor.(This abstract was borrowed from another version of this item.)"
837,"This paper considers local and global multiple-prior representations of ambiguity for preferences that are (i) monotonic, (ii) Bernoullian, i.e. admit an affine utility representation when restricted to constant acts, and (iii) locally Lipschitz continuous. We do not require either Certainty Independence or Uncertainty Aversion. We show that the set of priors identified by Ghirardato, Maccheroni, and Marinacci (2004)’s ‘unambiguous preference’ relation can be characterized as a union of Clarke differentials. We then introduce a behavioral notion of ‘locally better deviation’ at an act, and show that it characterizes the Clarke differential of the preference representation at that act. These results suggest that the priors identified by these preference statements are directly related to (local) optimizing behavior.(This abstract was borrowed from another version of this item.)"
838,"This paper argues that in the presence of intersectoral input-output linkages, microeconomic idiosyncratic shocks may lead to aggregate fluctuations. In particular, it shows that, as the economy becomes more disaggregated, the rate at which aggregate volatility decays is determined by the structure of the network capturing such linkages. Our main results provide a characterization of this relationship in terms of the importance of different sectors as suppliers to their immediate customers as well as their role as indirect suppliers to chains of downstream sectors. Such higher-order interconnections capture the possibility of ""cascade effects"" whereby productivity shocks to a sector propagate not only to its immediate downstream customers, but also indirectly to the rest of the economy. Our results highlight that sizable aggregate volatility is obtained from sectoral idiosyncratic shocks only if there exists significant asymmetry in the roles that sectors play as suppliers to others, and that the ""sparseness"" of the input-output matrix is unrelated to the nature of aggregate fluctuations.(This abstract was borrowed from another version of this item.)"
839,"This paper analyzes the properties of standard estimators, tests, and confidence sets (CS's) for parameters that are unidentified or weakly identified in some parts of the parameter space. The paper also introduces methods to make the tests and CS's robust to such identification problems. The results apply to a class of extremum estimators and corresponding tests and CS's that are based on criterion functions that satisfy certain asymptotic stochastic quadratic expansions and that depend on the parameter that determines the strength of identification. This covers a class of models estimated using maximum likelihood (ML), least squares (LS), quantile, generalized method of moments (GMM), generalized empirical likelihood (GEL), minimum distance (MD), and semi-parametric estimators. The consistency/lack-of-consistency and asymptotic distributions of the estimators are established under a full range of drifting sequences of true distributions. The asymptotic sizes (in a uniform sense) of standard and identification-robust tests and CS's are established. The results are applied to the ARMA(1, 1) time series model estimated by ML and to the nonlinear regression model estimated by LS. In companion papers the results are applied to a number of other models.(This abstract was borrowed from another version of this item.)"
840,"Maximum likelihood estimation of structural models is often viewed as computationally difficult. This impression is due to a focus on the Nested Fixed-Point approach. We present a direct optimization approach to the general problem and show that it is significantly faster than the NFXP approach when applied to the canonical Zurcher bus repair model. The NFXP approach is inappropriate for estimating games since it requires finding all Nash equilibria of a game for each parameter vector considered, a generally intractable computational problem. We formulate the problem of maximum likelihood estimation of games as a constrained optimization problem that is qualitatively no more difficult to solve than standard maximum likelihood problems. The direct optimization approach is also applicable to other structural estimation methods such as methods of moments, and also allows one to use computationally intensive bootstrap methods to calculate inference. The MPEC approach is also easily implemented on software with high-level interfaces. Furthermore, all the examples in this paper were computed using only free resources available on the web.(This abstract was borrowed from another version of this item.)"
841,"In this paper, we propose a method to evaluate the effect of a counterfactual change in the unconditional distribution of a single covariate on the unconditional distribution of an outcome variable of interest. Both fixed and infinitesimal changes are considered. We show that such effects are point identified under general conditions if the covariate affected by the counterfactual change is continuously distributed, but are typically only partially identified if its distribution is discrete. For the latter case, we derive informative bounds making use of the available information. We also discuss estimation and inference.(This abstract was borrowed from another version of this item.)"
842,"This paper considers the estimation problem of structural models for which empirical restrictions are characterized by a fixed point constraint, such as structural dynamic discrete choice models or models of dynamic games. We analyze the conditions under which the nested pseudo-likelihood (NPL) algorithm achieves convergence and derive its convergence rate. We find that the NPL algorithm may not necessarily converge when the fixed point mapping does not have a local contraction property. To address the issue of non-convergence, we propose alternative sequential estimation procedures that can achieve convergence even when the NPL algorithm does not. Upon convergence, some of our proposed estimation algorithms produce more efficient estimators than the NPL estimator.(This abstract was borrowed from another version of this item.)"
843,"Seemingly absent from the arsenal of currently available ""nearly efficient"" testing procedures for the unit root hypothesis, i.e. tests whose local asymptotic power functions are indistinguishable from the Gaussian power envelope, is a test admitting a (quasi-)likelihood ratio interpretation. We show that the likelihood ratio unit root test derived in a Gaussian AR(1) model with standard normal innovations is nearly efficient in that model. Moreover, these desirable properties carry over to more complicated models allowing for serially correlated and/or non-Gaussian innovations.(This abstract was borrowed from another version of this item.)"
844,"It is well-known that mechanism design literature makes many simplifying infor- mational assumptions in particular in terms of common knowledge of the environment among players. In this paper, we introduce a notion of continuous implementation and characterize when a social choice function is continuously implementable. More specif- ically, we say that a social choice function is continuously (partially) implementable if it is (partially) implementable for types in the model under study and it continues to be (partially) implementable for types ""close"" to this initial model. We ?rst show that if the model is of complete information a social choice function is continuously (partially) implementable only if it satis?es Maskin?s monotonicity. We then extend this result to general incomplete information settings and show that a social choice function is continuously (partially) implementable only if it is fully implementable in iterative dominance. For ?nite mechanisms, this condition is also su¢ cient. We also discuss implications of this characterization for the virtual implementation approach.(This abstract was borrowed from another version of this item.)"
845,"We apply three axioms adapted from decision theory to refinements of the Nash equilibria of games with perfect recall that select connected closed sub- sets called solutions. No player uses a weakly dominated strategy in an equilibrium in a solution. Each solution contains a quasi-perfect equilibrium and thus a sequential equilibrium in strategies that provide conditionally admissible optimal continuations from information sets. A refinement is immune to embedding a game in a larger game with additional players provided the original players' strategies and payoffs are preserved, i.e. solutions of a game are the same as those induced by the solutions of any larger game in which it is embedded. For games with two players and generic payoffs, we prove that these axioms characterize each solution as an essential component of equilibria in undominated strategies, and thus a stable set as defined by Mertens (1989).(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)"
846,"We present a simple way to estimate the effects of changes in a vector of observable variables X on a limited dependent variable Y when Y is a general nonseparable function of X and unobservables. We treat models in which Y is censored from above or below or potentially from both. The basic idea is to first estimate the derivative of the conditional mean of Y given X at x with respect to x on the uncensored sample without correcting for the effect of changes in x induced on the censored population. We then correct the derivative for the effects of the selection bias. We propose nonparametric and semiparametric estimators for the derivative. As extensions, we discuss the cases of discrete regressors, measurement error in dependent variables, and endogenous regressors in a cross section and panel data context.(This abstract was borrowed from another version of this item.)"
847,"We examine challenges to estimation and inference when the objects of interest are nondifferentiable functionals of the underlying data distribution. This situation arises in a number of applications of bounds analysis and moment inequality models, and in recent work on estimating optimal dynamic treatment regimes. Drawing on earlier work relating differentiability to the existence of unbiased and regular estimators, we show that if the target object is not continuously differentiable in the parameters of the data distribution, there exist no locally asymptotically unbiased estimators and no regular estimators. This places strong limits on estimators, bias correction methods, and inference procedures.(This abstract was borrowed from another version of this item.)"
848,"In Cho and White (2007) ""Testing for Regime Switching"" the authors obtain the asymptotic null distribution of a quasi-likelihood ratio (QLR) statistic. The statistic is designed to test the null hypothesis of one regime against the alternative of Markov switching between two regimes. Likelihood ratio statistics are used because the test involves nuisance parameters that are not identified under the null hypothesis, together with other nonstandard features. Cho and White focus on a quasi-likelihood, which ignores certain serial correlation properties but allows for a tractable factorization of the likelihood. While the majority of their paper focuses on asymptotic behavior under the null hypothesis, Theorem 1(b) states that the quasi-maximum likelihood estimator (QMLE) is consistent under the alternative hypothesis. Consistency of the QMLE requires that the expected quasi-log-likelihood attain a global maximum at the population parameter values. This requirement holds for some Markov regime-switching processes but, as we show below, not for an autoregressive process as analyzed in Cho and White.(This abstract was borrowed from another version of this item.)"
849,"How can price elasticities be identified when agents face optimization frictions such as adjustment costs or inattention? I derive bounds on structural price elasticities that are a function of the observed effect of a price change on demand, the size of the price change, and the degree of frictions. The degree of frictions is measured by the utility losses agents tolerate to deviate from the frictionless optimum. The bounds imply that frictions affect intensive margin elasticities much more than extensive margin elasticities. I apply these bounds to the literature on labor supply. The utility costs of ignoring the tax changes used to identify intensive margin labor supply elasticities are typically less than 1% of earnings. As a result, small frictions can explain the differences between micro and macro elasticities, extensive and intensive margin elasticities, and other disparate findings. Pooling estimates from existing studies, I estimate a Hicksian labor supply elasticity of 0.33 on the intensive margin and 0.25 on the extensive margin after accounting for frictions.(This abstract was borrowed from another version of this item.)"
850," The typical cost analysis of an environmental regulation consists of an engineering estimate of the compliance costs. In industries where fixed costs are an important determinant of market structure this static analysis ignores the dynamic effects of the regulation on entry, investment, and market power. I evaluate the welfare costs of the 1990 Amendments to the Clean Air Act on the US Portland cement industry, accounting for these effects through a dynamic model of oligopoly in the tradition of Ericson and Pakes \citeyearpar{pakes-ericson:95}. Using a recently developed two-step estimator, I recover the entire cost structure of the industry, including the distribution of sunk entry costs and adjustment costs of investment. I find that the Amendments have significantly increased the sunk cost of entry. I solve for the Markov perfect Nash equilibrium (MPNE) of the model and simulate the welfare effects of the Amendments. A static analysis misses the welfare penalty on consumers, and obtains the wrong sign on the welfare effects on incumbent firms(This abstract was borrowed from another version of this item.)"
851,"We introduce a new measure constructed from high-frequency financial data which we call the Realized Laplace Transform of volatility. The statistic provides a nonparametric estimate for the empirical Laplace transform of the latent stochastic volatility process over a given interval of time. When a long span of data is used, i.e., under joint long-span and fill-in asymptotics, it is an estimate of the volatility Laplace transform. The asymptotic behavior of the statistic depends on the small scale behavior of the driving martingale. We derive the asymptotics both in the case when the latter is known and when it needs to be inferred from the data. When the underlying process is a jump-diffusion our statistic is robust to jumps and when the process is pure-jump it is robust to presence of less active jumps. We apply our results to simulated and real financial data.(This abstract was borrowed from another version of this item.)"
852,"We analyze the identification and estimation of parameters ? satisfying the incomplete linear moment restrictions E(z T (x ??y)) = E(z T u(z)) where z is a set of instruments and u(z) an unknown bounded scalar function. We first provide empirically relevant examples of such a set-up. Second, we show that these conditions set identify ? where the identified set B is bounded and convex. We provide a sharp characterization of the identified set not only when the number of moment conditions is equal to the number of parameters of interest but also in the case in which the number of conditions is strictly larger than the number of parameters. We derive a necessary and sufficient condition of the validity of supernumerary restrictions which generalizes the familiar Sargan condition. Third, we provide new results on the asymptotics of analog estimates constructed from the identification results. When B is a strictly convex set, we also construct a test of the null hypothesis, ? 0 ? B, whose size is asymptotically correct and which relies on the minimization of the support function of the set B ? { ? 0 }. Results of some Monte Carlo experiments are presented.(This abstract was borrowed from another version of this item.)"
853,"We study the existence of equilibria with endogenously complete markets in a continuous-time, heterogenous agents economy driven by a multidimensional diffusion process. Our main results show that if prices are real analytic as functions of time and the state variables of the model then a suffi- cient condition for market completeness is that the volatility of dividends be nondegenerate. In contrast to previous research, our formulation does not require that securities pay terminal dividends and thus allows for both finite or infinite horizon economies. We illustrate our results by providing easily applicable conditions for market completeness in two benchmark cases: that where the state variables are given by a vector autoregressive process and that where they are given by a vector of autonomous diffusion processes. We also provide counterexamples which show that real analyticity cannot be dispensed with if one is to deduce dynamic market completeness from the structure of dividends.(This abstract was borrowed from another version of this item.)"
854,"We study the random Strotz model, a version of the Strotz (1955) model with uncer- tainty about the nature of the temptation that will strike. We show that the random Strotz representation is unique and characterize a comparative notion of \more temp- tation averse."" Also, we demonstrate an unexpected connection between the random Strotz model and a generalization of the Gul{Pesendorfer (GP) (2001) model of temp- tation which allows for the temptation to be uncertain and which we call random GP. In particular, a preference over menus has a random GP representation i it also has a representation via a random Strotz model with suciently smooth uncertainty about the intensity of temptation. We also show that choices of menus combined with choices from menus can distinguish the random GP and random Strotz models.(This abstract was borrowed from another version of this item.)"
855,"We find that Epstein (2010)'s Ellsberg-style thought experiments pose, contrary to his claims, no paradox or difficulty for the smooth ambiguity model of decision making under uncertainty developed by Klibanoff, Marinacci and Mukerji (2005). Not only are the thought experiments naturally handled by the smooth ambiguity model, but our reanalysis shows that they highlight some of its strengths compared to models such as the maxmin expected utility model (Gilboa and Schmeidler (1989)). In particular, these examples pose no challenge to the model's foundations, interpretation of the model as affording a separation of ambiguity and ambiguity attitude or the potential for calibrating ambiguity attitude in the model.(This abstract was borrowed from another version of this item.)"
856,"It is generally presumed that stronger legal enforcement of lender rights increases credit access for all borrowers because it expands the set of incentive compatible loan contracts. This result relies on an assumption that the supply of credit is in nitely elastic. In contrast, with inelastic supply, stronger enforcement generates general equilibrium e ects that may reduce credit access for small borrowers and expand it for wealthy borrowers. In a rm-level panel, we nd evidence that an Indian judicial reform that increased banks' ability to recover non-performing loans had such an adverse distributive impact.(This abstract was borrowed from another version of this item.)"
857,"We propose a novel generalized recursive smooth ambiguity model which permits a three-way separation among risk aversion, ambiguity aversion, and intertemporal substitution. We apply this utility model to a consumption-based asset pricing model in which consumption and dividends follow hidden Markov regime-switching processes. Our calibrated model can match the mean equity premium, the mean risk-free rate, and the volatility of the equity premium observed in the data. In addition, our model can generate a variety of dynamic asset pricing phenomena, including the procyclical variation of price-dividend ratios, the countercyclical variation of equity premia and equity volatility, the leverage e?ect, and the mean reversion of excess returns. The key intuition is that an ambiguity averse agent behaves pessimistically by attaching more weight to the pricing kernel in bad times when his continuation values are low.(This abstract was borrowed from another version of this item.)"
858,"We propose a theory of task trade between countries that have similar relative factor endowments but may differ in size. Firms produce differentiated goods by performing a continuum of tasks, each of which generates local spillovers. Tasks can be performed at home or abroad, but offshoring entails costs that vary by task. In equilibrium, the tasks with the highest offshoring costs may not be traded. Among the remainder, those with the relatively higher offshoring costs are performed in the country that has the higher wage and higher aggregate output. We discuss the relationship between equilibrium wages, equilibrium outputs, and relative country size and examine how the pattern of specialization reflects the key parameters of the model.(This abstract was borrowed from another version of this item.)"
859,"A large sample approximation of the posterior distribution of partially identified structural parameters is derived for models that can be indexed by a finite-dimensional reduced form parameter vector. It is used to analyze the differences between frequentist confidence sets and Bayesian credible sets in partially identified models. A key difference is that frequentist set estimates extend beyond the boundaries of the identified set (conditional on the estimated reduced form parameter), whereas Bayesian credible sets can asymptotically be located in the interior of the identified set. Our asymptotic approximations are illustrated in the context of simple moment inequality models and a numerical illustration for a two-player entry game is provided.(This abstract was borrowed from another version of this item.)"
860,"We study mixed hitting-time models, which specify durations as the first time a Levy process (a continuous-time process with stationary and independent increments) crosses a heterogeneous threshold. Such models of substantial interest because they can be reduced from optimal-stopping models with heterogeneous agents that do not naturally produce a mixed proportional hazards structure. We show how strategies for analyzing the identifiability of the mixed proportional hazards model can be adapted to prove identifiability of a hitting-time model with observed covariates and unobserved heterogeneity. We discuss inference from censored data and give examples of structural applications. We conclude by discussing the relative merits of both models as complementary frameworks for econometric duration analysis.(This abstract was borrowed from another version of this item.)"
861,"In this paper, how social preferences overcome the commitment problems implicit in vote-buying is examined. Data used for the study is a survey information on vote-buying experienced in a 2006 municipal election in Paraguay, with information on behavior in experiments carried out in 2002. [Working Paper No. 214].(This abstract was borrowed from another version of this item.)"
862,"The dual self-model of self-control with one-period lived short-run selves is excessively sensitive to the timing of shocks and to the interpolation of additional â€œnoactionâ€ time periods in between the dates when decisions are made. We show that when short-run selves have a random length of time this excess sensitivity goes away. We consider both linear and convex cost of self-control models, illustrating the theory through a series of examples. We examine when opportunities to consume will be avoided or delayed; we consider the way in which the marginal interest declines with delay, and we examine how preference â€œreversalsâ€ depend on the timing of information. To accommodate the combination of short time periods and convex costs of self control we extend the model to treat willpower as a cognitive resource that is limited in the short run.(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)(This abstract was borrowed from another version of this item.)"
863,"This paper compares the properties of three electoral systems when voters have imperfect information. Imperfect information blurs voter decisions and may divorce the electoral outcome from the true preferences of the electorate. The challenge for electoral design is therefore to translate the (sometimes contradictory) elements of information dispersed in the electorate into the most efficient aggregate outcome. We propose a novel model of multi-candidate elections in Poisson games, and show that Approval Voting produces a unique equilibrium that is fully efficient: the candidate who wins the election is the one preferred by a majority of the electorate under full information. By contrast, traditional systems such as Plurality and Runoff elections cannot cope satisfactorily with information imperfections.(This abstract was borrowed from another version of this item.)"
864,"This paper studies the inference of interaction effects, i.e., the impacts of players' actions on each other's payoffs, in discrete simultaneous games with incomplete information. We propose an easily implementable test for the signs of state-dependent interaction effects that does not require parametric specifications of players' payoffs, the distributions of their private signals or the equilibrium selection mechanism. The test relies on the commonly invoked assumption that players' private signals are independent conditional on observed states. The procedure is valid in the presence of multiple equilibria, and, as a by-product of our approach, we propose a formal test for multiple equilibria in the data-generating process. We provide Monte Carlo evidence of the test's good performance in finite samples. We also implement the test to infer the direction of interaction effects in couples' joint retirement decisions using data from the Health and Retirement Study.(This abstract was borrowed from another version of this item.)"
865," This paper analyzes Bayesian normal form games in which players write contracts that condition their actions on the contracts of the other players. These contracts are required to be representable in a formal language. This is accomplished by constructing contracts which are definable functions of the Godel code of every other player's contract. We provide a complete characterization of the set of allocations supportable as pure strategy Bayesian equilibrium of this contracting game. When information is complete, this characterization provides a folk theorem. In general, the set of supportable allocations is smaller than the set supportable by a centralized mechanism designer.(This abstract was borrowed from another version of this item.)"
866,"In this paper we make two contributions. First, we show by example that empirical likelihood and other commonly used tests for parametric moment restrictions, including the GMM-based J-test of Hansen (1982), are unable to control the rate at which the probability of a Type I error tends to zero. From this it follows that, for the optimality claim for empirical likelihood in Kitamura (2001) to hold, additional assumptions and qualifications need to be introduced. The example also reveals that empirical and parametric likelihood may have non-negligible differences for the types of properties we consider, even in models in which they are first-order asymptotically equivalent. Second, under stronger assumptions than those in Kitamura (2001), we establish the following optimality result: (i) empirical likelihood controls the rate at which the probability of a Type I error tends to zero and (ii) among all procedures for which the probability of a Type I error tends to zero at least as fast, empirical likelihood maximizes the rate at which probability of a Type II error tends to zero for ""most"" alternatives. This result further implies that empirical likelihood maximizes the rate at which probability of a Type II error tends to zero for all alternatives among a class of tests that satisfy a weaker criterion for their Type I error probabilities.(This abstract was borrowed from another version of this item.)"
867,"The increase in female employment and participation rates is one of the most dramatic economic changes to have taken place during the last century. However, while the employment rate of married women more than doubled during the last fifty years, that of unmarried women remained almost constant. In order to empirically analyze these trends we divide the paper into two parts: In the first, we empirically estimate a traditional female dynamic labor supply model using an extended version of Eckstein and Wolpin (1989) in order to compare the various explanations in the literature for the observed trends. The main finding is that the rise in education levels accounts for about one-third of the increase in female employment while about 40 percent remains unexplained by observed household characteristics. We show that this unexplained portion can be empirically attributed to changes in preferences or the costs of childrearing and household maintenance. In the second part, we formulate and estimate a new framework for the couple intra-family game that is then used to analyze the household dynamic labor supply. We find that female labor supply may have increased significantly due to a change in the form of the household game.(This abstract was borrowed from another version of this item.)"
868,"We propose a new and flexible non-parametric framework for estimating the jump tails of Itô semimartingale processes. The approach is based on a relatively simple-to-implement set of estimating equations associated with the compensator for the jump measure, or its ""intensity"", that only utilizes the weak assumption of regular variation in the jump tails, along with in-fill asymptotic arguments for uniquely identifying the ""large"" jumps from the data. The estimation allows for very general dynamic dependencies in the jump tails, and does not restrict the continuous part of the process and the temporal variation in the stochastic volatility. On implementing the new estimation procedure with actual high-frequency data for the S&P; 500 aggregate market portfolio, we find strong evidence for richer and more complex dynamic dependencies in the jump tails than hitherto entertained in the literature.(This abstract was borrowed from another version of this item.)"
